"ref_id","ref_code","first_author","ref_year","title","ref_type","citation_bibtex"
328,"themortonarboretumSearchTreesPlants2023","The Morton Arboretum",2023,"Search Trees and Plants","Botanic garden or arboretum","@misc{themortonarboretumSearchTreesPlants2023, title = {Search {{Trees}} and {{Plants}}}, author = {{The Morton Arboretum}}, year = {2023}, url = {https://mortonarb.org/plant-and-protect/search-trees-and-plants/} }"
329,"hoytarboretumPlantDatabase2023","Hoyt Arboretum",2023,"Plant Database","Botanic garden or arboretum","@misc{hoytarboretumPlantDatabase2023, title = {Plant {{Database}}}, author = {{Hoyt Arboretum}}, year = {2023}, url = {https://hoytarboretum.gardenexplorer.org} }"
331,"brooklynbotanicgardenPlantFinder2023","Brooklyn Botanic Garden",2023,"Plant Finder","Botanic garden or arboretum","@misc{brooklynbotanicgardenPlantFinder2023, title = {Plant {{Finder}}}, author = {{Brooklyn Botanic Garden}}, year = {2023}, url = {https://plants.bbg.org/search} }"
332,"jardindaltitudeduhautchiteletSporaeSeminaPlantis2022","Jardin d’Altitude du Haut Chitelet",2022,"Sporae et semina e plantis in horto botanico alpino cultis","Botanic garden or arboretum","@techreport{jardindaltitudeduhautchiteletSporaeSeminaPlantis2022, title = {Sporae et {{Semina}} e {{Plantis}} in {{Horto Botanico Alpino Cultis}}}, author = {{Jardin d'Altitude du Haut Chitelet}}, year = {2022}, address = {Villers-l{\`e}s-Nancy}, institution = {Jardins Botaniques du Grand Nancy et de l'Universit{\'e} de Lorraine} }"
333,"jardinbotaniquejean-mariepeltSeminaPlantarumAperto2022","Jardin botanique Jean-Marie Pelt",2022,"Semina Plantarum in Aperto Cultarum","Botanic garden or arboretum","@techreport{jardinbotaniquejean-mariepeltSeminaPlantarumAperto2022, title = {Semina {{Plantarum}} in {{Aperto Cultarum}}}, author = {{Jardin botanique Jean-Marie Pelt}}, year = {2022}, address = {Villers-l{\`e}s-Nancy}, institution = {Jardins Botaniques du Grand Nancy et de l'Universit{\'e} de Lorraine} }"
334,"realjardinbotanicojuancarlosiCatalogoEspecies2021","Real Jardín Botánico Juan Carlos I",2021,"Catálogo de especies","Botanic garden or arboretum","@techreport{realjardinbotanicojuancarlosiCatalogoEspecies2021, title = {Cat{\'a}logo de especies}, author = {{Real Jard{\'i}n Bot{\'a}nico Juan Carlos I}}, year = {2021}, address = {Madrid}, institution = {Universidad de Alcal{\'a}} }"
335,"jardinetnobotanicodelcentroinah-morelosListaEspeciesPresentes2023","Jardín Etnobotánico del Centro INAH-Morelos",2023,"Lista de especies presentes en el Jardín Etnobotánico del Centro INAH-Morelos","Botanic garden or arboretum","@misc{jardinetnobotanicodelcentroinah-morelosListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Etnobot{\'a}nico}} del {{Centro INAH-Morelos}}}, author = {{Jard{\'i}n Etnobot{\'a}nico del Centro INAH-Morelos}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=14} }"
337,"bernheimarboretumandresearchforestArboretumExplorer2023","Bernheim Arboretum and Research Forest",2023,"Arboretum Explorer","Botanic garden or arboretum","@misc{bernheimarboretumandresearchforestArboretumExplorer2023, title = {Arboretum {{Explorer}}}, author = {{Bernheim Arboretum and Research Forest}}, year = {2023}, url = {https://bernheim.arboretumexplorer.org} }"
338,"bergenbotanicalgardenGardenExplorer2023","Bergen Botanical Garden",2023,"Garden Explorer","Botanic garden or arboretum","@misc{bergenbotanicalgardenGardenExplorer2023, title = {Garden {{Explorer}}}, author = {{Bergen Botanical Garden}}, year = {2023}, url = {https://uib.gardenexplorer.org/} }"
339,"jardinetnobotanicodeoaxacaListaEspeciesPresentes2023","Jardín Etnobotánico de Oaxaca",2023,"Lista de especies presentes en el Jardín Etnobotánico de Oaxaca","Botanic garden or arboretum","@misc{jardinetnobotanicodeoaxacaListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Etnobot{\'a}nico}} de {{Oaxaca}}}, author = {{Jard{\'i}n Etnobot{\'a}nico de Oaxaca}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=9} }"
340,"jardinetnobotanicofranciscopelaezroldanListaEspeciesPresentes2023","Jardín Etnobotánico Francisco Peláez Roldán",2023,"Lista de especies presentes en el Jardín Etnobotánico Francisco Peláez Roldán","Botanic garden or arboretum","@misc{jardinetnobotanicofranciscopelaezroldanListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Etnobot{\'a}nico Francisco Pel{\'a}ez Rold{\'a}n}}}, author = {{Jard{\'i}n Etnobot{\'a}nico Francisco Pel{\'a}ez Rold{\'a}n}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=10} }"
341,"universityofoslobotanicalgardenGardenExplorer2023","University of Oslo Botanical Garden",2023,"Garden Explorer","Botanic garden or arboretum","@misc{universityofoslobotanicalgardenGardenExplorer2023, title = {Garden {{Explorer}}}, author = {{University of Oslo Botanical Garden}}, year = {2023}, url = {https://nhmbgoslo.gardenexplorer.org/} }"
343,"jardinbotanicodr.faustinomirandaListaEspeciesPresentes2023","Jardín Botánico Dr. Faustino Miranda",2023,"Lista de especies presentes en el Jardín Botánico Dr. Faustino Miranda","Botanic garden or arboretum","@misc{jardinbotanicodr.faustinomirandaListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Bot{\'a}nico Dr}}. {{Faustino Miranda}}}, author = {{Jard{\'i}n Bot{\'a}nico Dr. Faustino Miranda}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=11} }"
344,"mendocinocoastbotanicalgardensCollectionPlantList2018","Mendocino Coast Botanical Gardens",2018,"Plant List","Botanic garden or arboretum","@techreport{mendocinocoastbotanicalgardensCollectionPlantList2018, title = {Collection {{Plant List}}}, author = {{Mendocino Coast Botanical Gardens}}, year = {2018} }"
345,"jardinbotanicodelafesc-unamListaEspeciesPresentes2023","Jardín Botánico de la FESC-UNAM",2023,"Lista de especies presentes en el Jardín Botánico de la FESC-UNAM","Botanic garden or arboretum","@misc{jardinbotanicodelafesc-unamListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Bot{\'a}nico}} de la {{FESC-UNAM}}}, author = {{Jard{\'i}n Bot{\'a}nico de la FESC-UNAM}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=12} }"
346,"botanischergartenderuniversitaterlangen-nurnbergIndexSeminum2022","Botanischer Garten der Universität Erlangen-Nürnberg",2022,"Index Seminum","Botanic garden or arboretum","@techreport{botanischergartenderuniversitaterlangen-nurnbergIndexSeminum2022, title = {Index {{Seminum}}}, author = {{Botanischer Garten der Universit{\""a}t Erlangen-N{\""u}rnberg}}, year = {2022}, address = {Erlangen}, institution = {Friedrich-Alexander-Universit{\""a}t Erlangen-N{\""u}rnberg} }"
347,"gradinabotanicaIndexSeminum2019","Grădina Botanică Alexandru Borza",2019,"Index Seminum","Botanic garden or arboretum","@techreport{gradinabotanicaIndexSeminum2019, title = {Index {{Seminum}}}, author = {{Gr{\u a}dina Botanic{\u a}}}, year = {2019}, address = {Cluj-Napoca}, institution = {Universit{\u a}{\c t}ii Babe{\c s}-Bolyai din Cluj-Napoca} }"
348,"jardinbotanicodefundacionxochitlaListaEspeciesPresentes2023","Jardín Botánico de Fundación Xochitla",2023,"Lista de especies presentes en el Jardín Botánico de Fundación Xochitla","Botanic garden or arboretum","@misc{jardinbotanicodefundacionxochitlaListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Bot{\'a}nico}} de {{Fundaci{\'o}n Xochitla}}}, author = {{Jard{\'i}n Bot{\'a}nico de Fundaci{\'o}n Xochitla}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=18} }"
349,"vanderbiltuniversityarboretumTreeSpeciesVanderbilt2023","Vanderbilt University Arboretum",2023,"Tree Species of the Vanderbilt Arboretum","Botanic garden or arboretum","@misc{vanderbiltuniversityarboretumTreeSpeciesVanderbilt2023, title = {Tree {{Species}} of the {{Vanderbilt Arboretum}}}, author = {{Vanderbilt University Arboretum}}, year = {2023}, url = {http://bioimages.vanderbilt.edu/metadata.htm?//metadata/list/vanderbilt#} }"
350,"oldcitycemeterymuseums&arboretumHorticultureWildlifeGuide2023","Old City Cemetery Museums & Arboretum",2023,"Horticulture & Wildlife Guide","Botanic garden or arboretum","@misc{oldcitycemeterymuseums&arboretumHorticultureWildlifeGuide2023, title = {Horticulture \& {{Wildlife Guide}}}, author = {{Old City Cemetery Museums \& Arboretum}}, year = {2023}, url = {https://www.gravegarden.org/horticulture-wildlife-guide/} }"
351,"gothenburgbotanicalgardenGardenExplorer2023","Gothenburg Botanical Garden",2023,"Garden Explorer","Botanic garden or arboretum","@misc{gothenburgbotanicalgardenGardenExplorer2023, title = {Garden {{Explorer}}}, author = {{Gothenburg Botanical Garden}}, year = {2023}, url = {https://botaniska.gardenexplorer.org} }"
352,"jardinbotanicoregionaldelcicyListaEspeciesPresentes2023","Jardín Botánico Regional del CICY",2023,"Lista de especies presentes en el Jardín Botánico Regional del CICY","Botanic garden or arboretum","@misc{jardinbotanicoregionaldelcicyListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Bot{\'a}nico Regional}} del {{CICY}}}, author = {{Jard{\'i}n Bot{\'a}nico Regional del CICY}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=5} }"
353,"jardinbotanicoregionalcassianoconzattiListaEspeciesPresentes2023","Jardín Botánico Regional Cassiano Conzatti",2023,"Lista de especies presentes en el Jardín Botánico Regional Cassiano Conzatti","Botanic garden or arboretum","@misc{jardinbotanicoregionalcassianoconzattiListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Bot{\'a}nico Regional Cassiano Conzatti}}}, author = {{Jard{\'i}n Bot{\'a}nico Regional Cassiano Conzatti}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=4} }"
354,"jardinbotanicofranciscojavierclavijeroListaEspeciesPresentes2023","Jardín Botánico Francisco Javier Clavijero",2023,"Lista de especies presentes en el Jardín Botánico Francisco Javier Clavijero","Botanic garden or arboretum","@misc{jardinbotanicofranciscojavierclavijeroListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Bot{\'a}nico Francisco Javier Clavijero}}}, author = {{Jard{\'i}n Bot{\'a}nico Francisco Javier Clavijero}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=6} }"
355,"stellenboschuniversitybotanicalgardenGardenExplorer2023","Stellenbosch University Botanical Garden",2023,"Garden Explorer","Botanic garden or arboretum","@misc{stellenboschuniversitybotanicalgardenGardenExplorer2023, title = {Garden {{Explorer}}}, author = {{Stellenbosch University Botanical Garden}}, year = {2023}, url = {https://sun.gardenexplorer.org} }"
356,"arboretumwojslawiceIndexPlantarum2020","Arboretum Wojsławice",2020,"Index Plantarum","Botanic garden or arboretum","@misc{arboretumwojslawiceIndexPlantarum2020, title = {Index {{Plantarum}}}, author = {{Arboretum Wojs{\l}awice}}, year = {2020}, url = {https://arboretumwojslawice.pl/index-plantarum/} }"
357,"unitedstatesbotanicgardenGardenExplorer2023","United States Botanic Garden",2023,"Garden Explorer","Botanic garden or arboretum","@misc{unitedstatesbotanicgardenGardenExplorer2023, title = {Garden {{Explorer}}}, author = {{United States Botanic Garden}}, year = {2023}, url = {https://usbg.gardenexplorer.org/} }"
358,"queensirikitbotanicgardenBotanicalGardenOrganization2013","Queen Sirikit Botanic Garden",2013,"Botanical Garden Organization Living Plants Database","Botanic garden or arboretum","@misc{queensirikitbotanicgardenBotanicalGardenOrganization2013, title = {Botanical {{Garden Organization Living Plants Database}}}, author = {{Queen Sirikit Botanic Garden}}, year = {2013}, url = {http://www.qsbg.org/Database/plantdb/lcd/livingplantslist.asp} }"
359,"jardinbotanicodelauniversidadautonomadeguerreroListaEspeciesPresentes2023","Jardín Botánico de la Universidad Autónoma de Guerrero",2023,"Lista de especies presentes en el Jardín Botánico de la Universidad Autónoma de Guerrero","Botanic garden or arboretum","@misc{jardinbotanicodelauniversidadautonomadeguerreroListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Bot{\'a}nico}} de la {{Universidad Aut{\'o}noma}} de {{Guerrero}}}, author = {{Jard{\'i}n Bot{\'a}nico de la Universidad Aut{\'o}noma de Guerrero}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=17} }"
360,"jardinbotaniquehenrigaussenIndexSeminum2023","Jardin Botanique Henri Gaussen",2023,"Index Seminum","Botanic garden or arboretum","@techreport{jardinbotaniquehenrigaussenIndexSeminum2023, title = {Index {{Seminum}}}, author = {{Jardin Botanique Henri Gaussen}}, year = {2023}, address = {Toulouse}, institution = {Universit{\'e} Paul Sabatier} }"
361,"royalbotanicgardenedinburghCatalogueLivingCollections2018","Royal Botanic Garden Edinburgh",2018,"Catalogue of the Living Collections","Botanic garden or arboretum","@misc{royalbotanicgardenedinburghCatalogueLivingCollections2018, title = {Catalogue of the {{Living Collections}}}, author = {{Royal Botanic Garden Edinburgh}}, year = {2018} }"
362,"conservatoireetjardinbotaniquesdegeneveInventaireCollectionsVivantes2023","Conservatoire et Jardin botaniques de Genève",2023,"Inventaire des collections vivantes","Botanic garden or arboretum","@misc{conservatoireetjardinbotaniquesdegeneveInventaireCollectionsVivantes2023, title = {Inventaire des collections vivantes}, author = {{Conservatoire et Jardin botaniques de Gen{\`e}ve}}, year = {2023} }"
363,"nationalbotanicgardensglasnevinLivingCollections2023","National Botanic Gardens, Glasnevin",2023,"The Living Collections","Botanic garden or arboretum","@misc{nationalbotanicgardensglasnevinLivingCollections2023, title = {The {{Living Collections}}}, author = {{National Botanic Gardens, Glasnevin}}, year = {2023}, url = {https://www.botanicgardens.ie/science-and-learning/the-living-collections/} }"
364,"hallaarboretumPlantList2021","Halla Arboretum",2021,"Plant List","Botanic garden or arboretum","@misc{hallaarboretumPlantList2021, title = {Plant {{List}}}, author = {{Halla Arboretum}}, year = {2021}, url = {https://www.jeju.go.kr/sumokwon/visit/arboretum/arboretum1.htm} }"
365,"jardinbotanicobenjaminfrancisjohnstondelosmochisListaEspeciesPresentes2023","Jardín Botánico Benjamín Francis Johnston de los Mochis",2023,"Lista de especies presentes en el Jardín Botánico Benjamín Francis Johnston de los Mochis","Botanic garden or arboretum","@misc{jardinbotanicobenjaminfrancisjohnstondelosmochisListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Bot{\'a}nico Benjam{\'i}n Francis Johnston}} de los {{Mochis}}}, author = {{Jard{\'i}n Bot{\'a}nico Benjam{\'i}n Francis Johnston de los Mochis}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=16} }"
366,"onyanchaPlantsChecklistMount2020","Onyancha",2020,"Plants checklist of Mount Kenya University Botanic Garden, Thika, Kenya","Botanic garden or arboretum","@article{onyanchaPlantsChecklistMount2020, title = {Plants checklist of {{Mount Kenya University Botanic Garden}}, {{Thika}}, {{Kenya}}}, author = {Onyancha, Jared M and Wakori, Edith W T and Moriasi, Gervason A and Waiganjo, Bibianne W and Mwambeo, Humphrey M}, year = {2020}, journal = {International Journal of Modern Botany}, langid = {english} }"
367,"jardinbotanicodelabuapListaEspeciesPresentes2023","Jardín Botánico de la BUAP",2023,"Lista de especies presentes en el Jardín Botánico de la BUAP","Botanic garden or arboretum","@misc{jardinbotanicodelabuapListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Bot{\'a}nico}} de la {{BUAP}}}, author = {{Jard{\'i}n Bot{\'a}nico de la BUAP}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=2} }"
368,"chateauperouseDatabasePlantsGarden2023","Château Pérouse",2023,"Database: plants in garden","Botanic garden or arboretum","@misc{chateauperouseDatabasePlantsGarden2023, title = {Database: plants in garden}, author = {{Ch{\^a}teau P{\'e}rouse}}, year = {2023}, url = {https://www.chateau-perouse.com/en/database} }"
369,"jardinbotanicoharaveridesansebastiandeloesteListaEspeciesPresentes2023","Jardín Botánico Haravéri de San Sebastián del Oeste",2023,"Lista de especies presentes en el Jardín Botánico Haravéri de San Sebastián del Oeste","Botanic garden or arboretum","@misc{jardinbotanicoharaveridesansebastiandeloesteListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Bot{\'a}nico Harav{\'e}ri}} de {{San Sebasti{\'a}n}} del {{Oeste}}}, author = {{Jard{\'i}n Bot{\'a}nico Harav{\'e}ri de San Sebasti{\'a}n del Oeste}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=22} }"
370,"jardinbotanicolouisewardledecamachodeafricamsafariListaEspeciesPresentes2023","Jardín Botánico Louise Wardle de Camacho de Africam Safari",2023,"Lista de especies presentes en el Jardín Botánico Louise Wardle de Camacho de Africam Safari","Botanic garden or arboretum","@misc{jardinbotanicolouisewardledecamachodeafricamsafariListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Bot{\'a}nico Louise Wardle}} de {{Camacho}} de {{Africam Safari}}}, author = {{Jard{\'i}n Bot{\'a}nico Louise Wardle de Camacho de Africam Safari}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=1} }"
371,"jardinbotanicojerzyrzedowskirotterListaEspeciesPresentes2023","Jardín Botánico Jerzy Rzedowski Rotter",2023,"Lista de especies presentes en el Jardín Botánico Jerzy Rzedowski Rotter","Botanic garden or arboretum","@misc{jardinbotanicojerzyrzedowskirotterListaEspeciesPresentes2023, title = {Lista de especies presentes en el {{Jard{\'i}n Bot{\'a}nico Jerzy Rzedowski Rotter}}}, author = {{Jard{\'i}n Bot{\'a}nico Jerzy Rzedowski Rotter}}, year = {2023}, publisher = {CONABIO - Jardines Bot{\'a}nicos de M{\'e}xico}, url = {https://dgcii.conabio.gob.mx/jardines-botanicos/index.php?r=site/page&view=listaxjardin&IdJardinBotanico=15} }"
372,"navratilovaHortusBotanicusTrebon2023","Navrátilová",2023,"Hortus Botanicus Třeboň","Botanic garden or arboretum","@misc{navratilovaHortusBotanicusTrebon2023, title = {Hortus {{Botanicus T{\v r}ebo{\v n}}}}, author = {Navr{\'a}tilov{\'a}, Jana}, year = {2023}, journal = {Department of Experimental Garden and Collection of Aquatic and Wetland Plants, Institute of Botany of Czech Academy of Sciences}, url = {https://www.butbn.cas.cz/sbirkavk/?p=1026} }"
373,"theuniversityofarizonacampusarboretumSpeciesListing2012","The University of Arizona Campus Arboretum",2012,"Species Listing","Botanic garden or arboretum","@misc{theuniversityofarizonacampusarboretumSpeciesListing2012, title = {Species {{Listing}}}, author = {{The University of Arizona Campus Arboretum}}, year = {2012}, url = {https://apps.cals.arizona.edu/arboretum/browse.aspx} }"
375,"arboretumzampachRejstrikDrevinBylin2021","Arboretum Žampach",2021,"Rejstřík dřevin a bylin","Botanic garden or arboretum","@misc{arboretumzampachRejstrikDrevinBylin2021, title = {Rejst{\v r}{\'i}k d{\v r}evin a bylin}, author = {{Arboretum {\v Z}ampach}}, year = {2021}, url = {https://www.uspza.cz/index.php?id=10286} }"
376,"botanischergartenuniversitatzurichPflanzendatenbank2023","Botanischer Garten Universität Zürich",2023,"Pflanzendatenbank","Botanic garden or arboretum","@misc{botanischergartenuniversitatzurichPflanzendatenbank2023, title = {Pflanzendatenbank}, author = {{Botanischer Garten Universit{\""a}t Z{\""u}rich}}, year = {2023}, url = {https://www.bg.uzh.ch/de/besuchen/pflanzendatenbanken/pflanzendatenbank.html} }"
377,"arboretumborovahoraZbierkovyFond2017","Arborétum Borová hora Technickej univerzity vo Zvolene",2017,"Zbierkový fond","Botanic garden or arboretum","@techreport{arboretumborovahoraZbierkovyFond2017, title = {Zbierkov{\'y} fond}, author = {{Arbor{\'e}tum Borov{\'a} hora}}, year = {2017}, address = {Zvolen}, institution = {Technickej univerzity vo Zvolene}, url = {https://abh.tuzvo.sk/sk/zbierkovy-fond-0} }"
378,"freundeskreisbotanischergartenPflanzenBotanischerGarten","Freundeskreis Botanischer Garten",2023,"Pflanzen von A – Z","Botanic garden or arboretum","@misc{freundeskreisbotanischergartenPflanzenBotanischerGarten, title = {Pflanzen von {{A}} - {{Z}} - {{Botanischer Garten Frankfurt}} Am {{Main}}}, author = {{Freundeskreis Botanischer Garten}}, howpublished = {https://www.botanischergarten-frankfurt.de/pflanzen/pflanzen-von-a-z/} }"
383,"koreanationalarboretumIndexSeminum2012","Korea National Arboretum",2012,"Index Seminum","Botanic garden or arboretum","@techreport{koreanationalarboretumIndexSeminum2012, title = {Index {{Seminum}}}, author = {{Korea National Arboretum}}, year = {2012}, institution = {Pocheon-Si} }"
386,"pollyhillarboretumInventoryLivingCollection2022","Polly Hill Arboretum",2022,"Inventory of Living Collection","Botanic garden or arboretum","@misc{pollyhillarboretumInventoryLivingCollection2022, title = {Inventory of {{Living Collection}}}, author = {{Polly Hill Arboretum}}, year = {2022} }"
393,"sluknowledgegardenSwedishUniversityAgricultural2023","SLU Knowledge Garden",2023,"Swedish University of Agricultural Sciences Garden Explorer","Botanic garden or arboretum","@misc{sluknowledgegardenSwedishUniversityAgricultural2023, title = {Swedish {{University}} of {{Agricultural Sciences Garden Explorer}}}, author = {{SLU Knowledge Garden}}, year = {2023}, url = {https://slukunskapsparken.gardenexplorer.org} }"
394,"hortusbotanicusamsterdamGardenExplorer2023","Hortus Botanicus Amsterdam",2023,"Garden Explorer","Botanic garden or arboretum","@misc{hortusbotanicusamsterdamGardenExplorer2023, title = {Garden {{Explorer}}}, author = {{Hortus Botanicus Amsterdam}}, year = {2023}, url = {https://dehortus.gardenexplorer.org/} }"
398,"systax-projektSysTaxDatenbanksystemFur2017","Systax",2017,"Systax database","Botanic garden or arboretum","@misc{systax-projektSysTaxDatenbanksystemFur2017, title = {{{SysTax}} -- Ein {{Datenbanksystem}} F{\""u}r {{Systematik}} Und {{Taxonomie}}}, author = {{SysTax-Projekt}}, year = {2017}, publisher = {Universit{\""a}t Ulm Institut f{\""u}r Systematische Botanik und {\""O}kologie} }"
399,"bartelsErhebungUberVorkommen1981","Bartels",1981,"Erhebung über das Vorkommen winterharter Freilandgehölze. 1: Die Gärten und Parks mit ihrem Gehölzbestand","Botanic garden or arboretum","@book{bartelsErhebungUberVorkommen1981, title = {{Erhebung {\""u}ber das Vorkommen winterharter Freilandgeh{\""o}lze. 1: Die G{\""a}rten und Parks mit ihrem Geh{\""o}lzbestand}}, shorttitle = {{Erhebung {\""u}ber das Vorkommen winterharter Freilandgeh{\""o}lze. 1}}, editor = {Bartels, Horst}, year = {1981}, series = {{Mitteilungen der Deutschen Dendrologischen Gesellschaft}}, number = {73}, publisher = {Ulmer}, address = {Stuttgart}, isbn = {978-3-8001-8306-7}, langid = {german}, annotation = {OCLC: 58634825} }"
406,"dawsonAssessingRisksPlant2008","Dawson",2008,"Assessing the risks of plant invasions arising from collections in tropical botanical gardens","Botanic garden or arboretum","@article{dawsonAssessingRisksPlant2008, title = {Assessing the risks of plant invasions arising from collections in tropical botanical gardens}, author = {Dawson, Wayne and Mndolwa, Ahmed S. and Burslem, David F. R. P. and Hulme, Philip E.}, year = {2008}, month = jul, journal = {Biodiversity and Conservation}, volume = {17}, number = {8}, pages = {1979--1995}, issn = {0960-3115, 1572-9710}, doi = {10.1007/s10531-008-9345-0}, url = {http://link.springer.com/10.1007/s10531-008-9345-0}, urldate = {2024-08-20}, copyright = {http://www.springer.com/tdm}, langid = {english} }"
407,"greenwayReportBotanicalSurvey1934","Greenway",1934,"Report of a botanical survey of the indigenous and exotic plants in cultivation at the East African Agricultural Research Station, Amani, Tanganyika Territory","Botanic garden or arboretum","@techreport{greenwayReportBotanicalSurvey1934, title = {Report of a botanical survey of the indigenous and exotic plants in cultivation at the {{East African Agricultural Research Station}}, {{Amani}}, {{Tanganyika Territory}}}, author = {Greenway, P. J.}, year = {1934} }"
408,"honessAmaniPlantationsDetailed1963","Honess",1963,"The Amani plantations: a detailed report on a survey made in 1961–1962","Botanic garden or arboretum","@techreport{honessAmaniPlantationsDetailed1963, title = {The {{Amani}} plantations: a detailed report on a survey made in 1961--1962}, author = {Honess, B. L.}, year = {1963}, address = {Muheza, Tanzania}, institution = {Agricultural Officer} }"
409,"feeCataloguePlantesJardin1836","Fee",1836,"Catalogue des Plantes du Jardin Botanique de Strasbourg","Botanic garden or arboretum","@book{feeCataloguePlantesJardin1836, title = {Catalogue des {{Plantes}} du {{Jardin Botanique}} de {{Strasbourg}}}, author = {F{\'e}e, A}, year = {1836}, publisher = {F. G. Levrault}, address = {Strasbourg} }"
414,"bggcuniversitylahoreCataloguePlants2022","BGGC",2022,"Catalogue of Plants","Botanic garden or arboretum","@book{bggcuniversitylahoreCataloguePlants2022, title = {Catalogue of plants}, author = {{BGGC University Lahore}}, year = {2022}, edition = {3rd Edition}, publisher = {Government College University Lahore}, address = {Lahore, Pakistan}, isbn = {978-969-9071-01-0}, langid = {english}, annotation = {OCLC: 437399910} }"
415,"jardibotanicdelauniversitatdevalenciaCatalegVirtualEspecies2023","Jardí Botànic de la Universitat de València ",2023,"Catàleg Virtual d'Espècies Vegetals","Botanic garden or arboretum","@misc{jardibotanicdelauniversitatdevalenciaCatalegVirtualEspecies2023, title = {Cat{\`a}leg {{Virtual}} d'{{Esp{\`e}cies Vegetals}}}, author = {{Jard{\'i} Bot{\`a}nic de la Universitat de Val{\`e}ncia}}, year = {2023}, url = {http://jardibotanic.org/?apid=cataleg_virtual_despecies_vegetals-220} }"
418,"centerforhomegardeningPlantFinder2023","Center for Home Gardening",2023,"Plant Finder","Botanic garden or arboretum","@misc{centerforhomegardeningPlantFinder2023, title = {Plant {{Finder}}}, author = {{Center for Home Gardening}}, year = {2023}, url = {https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx} }"
